epoch,processor_unit_units_status_cpu_board_cpu_fan_avg,processor_unit_units_status_cpu_board_cpu_fan_max,processor_unit_units_status_cpu_board_cpu_bd_fan1_avg,processor_unit_units_status_cpu_board_cpu_bd_fan1_max,processor_unit_units_status_cpu_board_cpu_bd_fan2_avg,processor_unit_units_status_cpu_board_cpu_bd_fan2_max,processor_unit_units_status_cpu_board_cpu_bd_temp_avg,processor_unit_units_status_cpu_board_cpu_bd_temp_max,processor_unit_units_status_cpu_board_cpu_core_temp_avg,processor_unit_units_status_cpu_board_cpu_core_temp_max,processor_unit_units_status_cpu_board_gpu_core_temp_avg,processor_unit_units_status_cpu_board_gpu_core_temp_max,processor_unit_units_status_cpu_board_cpu_core_vol_avg,processor_unit_units_status_cpu_board_cpu_core_vol_max,processor_unit_units_status_cpu_board_cpu_bd_vbat_avg,processor_unit_units_status_cpu_board_cpu_bd_vbat_max,processor_unit_units_status_cpu_board_cpu_bd_p3_3v_avg,processor_unit_units_status_cpu_board_cpu_bd_p3_3v_max,processor_unit_units_status_cpu_board_cpu_bd_p5v_avg,processor_unit_units_status_cpu_board_cpu_bd_p5v_max,processor_unit_units_status_cpu_board_cpu_bd_p12v_avg,processor_unit_units_status_cpu_board_cpu_bd_p12v_max
1000,0.010770477,0.041248858,0.007923444,0.03701456,0.018050784,0.06372887,0.021267818,0.07436772,0.0065974453,0.03838837,0.0062189396,0.031461477,0.013589036,0.04302098,0.0065563805,0.031169534,0.006917412,0.039962657,0.005354171,0.033658326,0.0042918804,0.030968055
2000,0.0049042227,0.03386855,0.0043015163,0.032453064,0.019949062,0.06150973,0.018727005,0.065063596,0.0062167877,0.03903386,0.0038033144,0.027297854,0.007997022,0.030664563,0.0050015817,0.028857231,0.0039589545,0.03154604,0.004054405,0.020833433,0.0031229157,0.030884176
3000,0.004730776,0.03239946,0.0027363608,0.024656236,0.017609734,0.06606609,0.008382474,0.04980266,0.01010455,0.03899747,0.004155011,0.028648376,0.003980074,0.029006809,0.0040398864,0.027871251,0.0052193115,0.027722908,0.005104213,0.017123401,0.003976954,0.031324178
4000,0.0060641854,0.03227848,0.006876918,0.031169593,0.017029483,0.066607535,0.013347805,0.057218313,0.008990077,0.037214905,0.004668787,0.031525135,0.0028593657,0.03034173,0.0044725086,0.0321424,0.006668124,0.029266894,0.003759668,0.015914321,0.002694046,0.024547517
5000,0.002863271,0.018948734,0.0030519178,0.018609822,0.014531821,0.042205155,0.004654171,0.023449004,0.0044338405,0.03399085,0.0031761462,0.02002421,0.003822816,0.01996106,0.0054955063,0.02503562,0.0026743507,0.030705154,0.0024089797,0.01110065,0.0052594994,0.022525191
