epoch,processor_unit_units_status_cpu_board_cpu_fan_avg,processor_unit_units_status_cpu_board_cpu_fan_max,processor_unit_units_status_cpu_board_cpu_bd_fan1_avg,processor_unit_units_status_cpu_board_cpu_bd_fan1_max,processor_unit_units_status_cpu_board_cpu_bd_fan2_avg,processor_unit_units_status_cpu_board_cpu_bd_fan2_max,processor_unit_units_status_cpu_board_cpu_bd_temp_avg,processor_unit_units_status_cpu_board_cpu_bd_temp_max,processor_unit_units_status_cpu_board_cpu_core_temp_avg,processor_unit_units_status_cpu_board_cpu_core_temp_max,processor_unit_units_status_cpu_board_gpu_core_temp_avg,processor_unit_units_status_cpu_board_gpu_core_temp_max,processor_unit_units_status_cpu_board_cpu_core_vol_avg,processor_unit_units_status_cpu_board_cpu_core_vol_max,processor_unit_units_status_cpu_board_cpu_bd_vbat_avg,processor_unit_units_status_cpu_board_cpu_bd_vbat_max,processor_unit_units_status_cpu_board_cpu_bd_p3_3v_avg,processor_unit_units_status_cpu_board_cpu_bd_p3_3v_max,processor_unit_units_status_cpu_board_cpu_bd_p5v_avg,processor_unit_units_status_cpu_board_cpu_bd_p5v_max,processor_unit_units_status_cpu_board_cpu_bd_p12v_avg,processor_unit_units_status_cpu_board_cpu_bd_p12v_max
1000,0.0075662825,0.038845986,0.004104979,0.04532306,0.022023862,0.06552911,0.01515267,0.07746953,0.007347396,0.048983216,0.006509329,0.041202366,0.0044881436,0.048979342,0.0035404302,0.026926458,0.0046164095,0.043448627,0.0037621402,0.02984935,0.0047842613,0.037709653
2000,0.010497429,0.027833939,0.002879648,0.022572532,0.012132493,0.040211618,0.010873763,0.035509914,0.004728403,0.022615403,0.008852833,0.021310866,0.0042946567,0.03043601,0.0026175182,0.0146692395,0.0050366195,0.022200465,0.0035786207,0.02088517,0.0025961704,0.020121947
3000,0.0031752065,0.017151892,0.0022881299,0.016567767,0.0078068883,0.034605682,0.0032788797,0.022195935,0.0034152472,0.018846393,0.0035965447,0.02141146,0.0048115016,0.022537112,0.002721191,0.013585894,0.0059378827,0.01607035,0.0028910148,0.01930958,0.002978329,0.019364549
4000,0.0033060475,0.01736869,0.0028149197,0.017243505,0.007657049,0.034873903,0.0020292632,0.016110778,0.0035290394,0.01633323,0.0022033174,0.016964164,0.004204931,0.019659579,0.004450575,0.017042518,0.0097378865,0.032867536,0.0025549284,0.021820068,0.0019269225,0.017238736
5000,0.005859381,0.019764662,0.004197761,0.020261586,0.0079868985,0.037159383,0.0028108687,0.015421867,0.0052836314,0.02420596,0.0045598242,0.01741217,0.0020241889,0.015628785,0.005374246,0.022842824,0.003660737,0.021950364,0.0036129325,0.024777472,0.0039760736,0.023540467
6000,0.0030965756,0.016564071,0.0025504217,0.01761198,0.007412631,0.03490424,0.0027292452,0.014961481,0.0021353345,0.016313732,0.0029301678,0.017553031,0.0032016619,0.017702118,0.0022999803,0.014309049,0.0024744277,0.021622658,0.0032343206,0.01854533,0.002151585,0.018256394
7000,0.004411868,0.020790577,0.0049691563,0.020564884,0.007922923,0.034397066,0.0025054372,0.016656429,0.0038992995,0.021019809,0.0028853375,0.019779421,0.0044713262,0.017839119,0.0048867306,0.017771125,0.0029246616,0.021596896,0.0039104875,0.02482748,0.0039028067,0.0184651
8000,0.0033496635,0.017253324,0.0027192489,0.017740816,0.0077896453,0.034707546,0.002378433,0.015733957,0.0020189302,0.020617664,0.0022531836,0.019786246,0.0028095508,0.020869255,0.0054765586,0.02117294,0.004344641,0.019409193,0.0026977148,0.021983743,0.006420727,0.022676228
9000,0.0021044964,0.015530825,0.003595203,0.017936558,0.007855826,0.03452778,0.0026933092,0.018507063,0.0018064007,0.017205015,0.0030452295,0.020159245,0.0043059904,0.017185658,0.0060242545,0.017111676,0.0032139223,0.020834088,0.0030820197,0.022051513,0.004732307,0.01766385
10000,0.0047221812,0.016969077,0.0019129759,0.014151305,0.0073771314,0.036328197,0.004468775,0.017104074,0.0024896655,0.017224684,0.0029539312,0.021062076,0.0036645078,0.017962039,0.005538594,0.01795429,0.0032875184,0.015766263,0.0024526983,0.020638824,0.006722887,0.023814857
11000,0.0038455727,0.016142383,0.0017168504,0.0126339495,0.0076775183,0.034361362,0.0039926493,0.016200483,0.0020930404,0.017641008,0.0038316774,0.019886494,0.003177946,0.01829815,0.002973654,0.012827158,0.0022634799,0.017913772,0.0024635969,0.024944067,0.00426151,0.016818225
