layer_index,from_node,to_node,weight,type
1,9,22,0.3097127,weight
1,9,23,-0.042199045,weight
1,10,1,-0.092456706,weight
1,10,2,0.15315385,weight
1,10,3,0.0067312648,weight
1,10,4,-0.045185577,weight
1,10,5,-0.07108219,weight
1,10,6,-0.03407601,weight
1,10,7,-0.00011346582,weight
1,10,8,0.18508816,weight
1,10,9,-0.04279049,weight
1,10,10,-0.03871512,weight
1,10,11,0.1285245,weight
1,10,12,-0.032635562,weight
1,10,13,-0.03373858,weight
1,10,14,0.035043005,weight
1,10,15,0.9985626,weight
1,10,16,0.0012440298,weight
1,10,17,-0.16441092,weight
1,10,18,-0.03584925,weight
1,10,19,-0.12998685,weight
1,10,20,-0.016900532,weight
1,10,21,0.09035188,weight
1,10,22,1.0054185,weight
1,10,23,0.029350648,weight
1,11,1,-0.5521412,weight
1,11,2,-0.24536332,weight
1,11,3,0.03887985,weight
1,11,4,-0.4845095,weight
1,11,5,-1.0850397,weight
1,11,6,-1.8668743,weight
1,11,7,0.4690738,weight
1,11,8,-0.15178776,weight
1,11,9,0.18250947,weight
1,11,10,0.39853925,weight
1,11,11,0.029135747,weight
1,11,12,-0.18387197,weight
1,11,13,-0.35952255,weight
1,11,14,0.53759,weight
1,11,15,-0.5521365,weight
1,11,16,0.066282496,weight
1,11,17,1.0116965,weight
1,11,18,-1.9274682,weight
1,11,19,0.6669616,weight
1,11,20,0.19176695,weight
1,11,21,-1.333438,weight
1,11,22,-1.630201,weight
1,11,23,0.19670944,weight
1,0,1,0.50777525,bias
1,0,2,0.5128775,bias
1,0,3,0.7392236,bias
1,0,4,1.1975595,bias
1,0,5,-0.32834446,bias
1,0,6,0.33266166,bias
1,0,7,-0.7263806,bias
1,0,8,0.4147074,bias
1,0,9,0.42049378,bias
1,0,10,-0.7945752,bias
1,0,11,-1.5411606,bias
1,0,12,1.6754298,bias
1,0,13,-1.8703791,bias
1,0,14,-1.0619298,bias
1,0,15,0.42220595,bias
1,0,16,-0.06397348,bias
1,0,17,-0.06435174,bias
1,0,18,1.277012,bias
1,0,19,-0.6324493,bias
1,0,20,0.31777516,bias
1,0,21,-2.4489174,bias
1,0,22,1.6876848,bias
1,0,23,1.6548122,bias
2,1,1,-0.9123642,weight
2,1,2,1.1671889,weight
2,1,3,-0.34917954,weight
2,1,4,1.6437621,weight
2,1,5,0.5571579,weight
2,1,6,-0.028660242,weight
2,1,7,-0.28998235,weight
2,1,8,0.5207279,weight
2,1,9,-1.90997,weight
2,1,10,-0.61202234,weight
2,2,1,0.055675354,weight
2,2,2,0.75000685,weight
2,2,3,0.28803632,weight
2,2,4,0.25874916,weight
2,2,5,0.51572347,weight
2,2,6,1.3927171,weight
2,2,7,0.6218831,weight
2,2,8,0.17003945,weight
2,2,9,2.7055075,weight
2,2,10,-0.790824,weight
2,3,1,0.39124414,weight
2,3,2,-0.6417644,weight
2,3,3,-0.111120075,weight
