epoch,processor_unit_units_status_cpu_board_cpu_fan_avg,processor_unit_units_status_cpu_board_cpu_fan_max,processor_unit_units_status_cpu_board_cpu_bd_fan1_avg,processor_unit_units_status_cpu_board_cpu_bd_fan1_max,processor_unit_units_status_cpu_board_cpu_bd_fan2_avg,processor_unit_units_status_cpu_board_cpu_bd_fan2_max,processor_unit_units_status_cpu_board_cpu_bd_temp_avg,processor_unit_units_status_cpu_board_cpu_bd_temp_max,processor_unit_units_status_cpu_board_cpu_core_temp_avg,processor_unit_units_status_cpu_board_cpu_core_temp_max,processor_unit_units_status_cpu_board_gpu_core_temp_avg,processor_unit_units_status_cpu_board_gpu_core_temp_max,processor_unit_units_status_cpu_board_cpu_core_vol_avg,processor_unit_units_status_cpu_board_cpu_core_vol_max,processor_unit_units_status_cpu_board_cpu_bd_vbat_avg,processor_unit_units_status_cpu_board_cpu_bd_vbat_max,processor_unit_units_status_cpu_board_cpu_bd_p3_3v_avg,processor_unit_units_status_cpu_board_cpu_bd_p3_3v_max,processor_unit_units_status_cpu_board_cpu_bd_p5v_avg,processor_unit_units_status_cpu_board_cpu_bd_p5v_max,processor_unit_units_status_cpu_board_cpu_bd_p12v_avg,processor_unit_units_status_cpu_board_cpu_bd_p12v_max
1000,0.015868127,0.08733031,0.0035411553,0.03804187,0.01702772,0.070316255,0.014722453,0.08573884,0.015193998,0.1830228,0.005308211,0.050160766,0.005450258,0.048180267,0.0049646185,0.03395921,0.011360505,0.05199945,0.0040406957,0.024981678,0.005282154,0.05185713
2000,0.008662727,0.050483644,0.012323789,0.03741914,0.018663751,0.06237626,0.0073065613,0.09121686,0.0073367083,0.066699624,0.0081983395,0.033883393,0.0046006073,0.030831039,0.004242187,0.026466472,0.0049736993,0.03028047,0.0028646998,0.017286897,0.0049103424,0.030159533
3000,0.0054125353,0.029614866,0.0029570195,0.028602421,0.017413437,0.066120505,0.009570516,0.0643242,0.0062184595,0.034881532,0.0033731037,0.031567138,0.0078066946,0.039911315,0.003978073,0.030399246,0.0026497438,0.028015614,0.0018979518,0.016439319,0.0064247972,0.02326119
4000,0.006011887,0.028312683,0.0030738993,0.025107682,0.01964321,0.058305323,0.008776996,0.055386007,0.0052042753,0.03612238,0.002755247,0.028384417,0.0037648228,0.02767913,0.003107974,0.033060014,0.0035010914,0.031092644,0.0017809947,0.01657027,0.004761981,0.024909124
5000,0.005307547,0.03336911,0.0023513953,0.0240677,0.017876519,0.06449747,0.005666719,0.050445497,0.004798627,0.03738101,0.0030101584,0.026029676,0.0035618509,0.024536073,0.0025835284,0.028326988,0.0036738364,0.044321477,0.0029898884,0.01907893,0.0033300165,0.024973555
6000,0.0037093232,0.024318531,0.002794705,0.020953119,0.019000249,0.061251283,0.0032316153,0.02153641,0.003024409,0.024532348,0.0023771308,0.027630549,0.009022487,0.03336525,0.0029760806,0.020072818,0.0025007473,0.03939718,0.0024353198,0.02056253,0.0043990226,0.026189206
