layer_index,layer_name,from_node,to_node,weight
1,input_to_hidden1,1,1,-0.280640184879303
1,input_to_hidden1,1,2,0.14509685337543488
1,input_to_hidden1,1,3,-0.27757441997528076
1,input_to_hidden1,1,4,0.44414401054382324
1,input_to_hidden1,1,5,0.3658977746963501
1,input_to_hidden1,1,6,-0.22903671860694885
1,input_to_hidden1,1,7,0.4954312741756439
1,input_to_hidden1,1,8,0.17972169816493988
1,input_to_hidden1,1,9,-0.3766075074672699
1,input_to_hidden1,1,10,-0.19242428243160248
1,input_to_hidden1,1,11,-0.4757583737373352
1,input_to_hidden1,1,12,0.33677762746810913
1,input_to_hidden1,2,1,0.17232197523117065
1,input_to_hidden1,2,2,-0.23009486496448517
1,input_to_hidden1,2,3,0.39590033888816833
1,input_to_hidden1,2,4,-0.26922884583473206
1,input_to_hidden1,2,5,-0.1991935670375824
1,input_to_hidden1,2,6,-0.11709181219339371
1,input_to_hidden1,2,7,0.1439942866563797
1,input_to_hidden1,2,8,0.36227402091026306
1,input_to_hidden1,2,9,0.3200787901878357
1,input_to_hidden1,2,10,0.049708638340234756
1,input_to_hidden1,2,11,0.06595867872238159
1,input_to_hidden1,2,12,0.30811646580696106
1,input_to_hidden1,3,1,-0.40245795249938965
1,input_to_hidden1,3,2,0.5206407904624939
1,input_to_hidden1,3,3,0.06925547122955322
1,input_to_hidden1,3,4,-0.07846682518720627
1,input_to_hidden1,3,5,-0.2300850749015808
1,input_to_hidden1,3,6,0.3392517864704132
1,input_to_hidden1,3,7,0.15058410167694092
1,input_to_hidden1,3,8,0.2558608055114746
1,input_to_hidden1,3,9,0.24865877628326416
1,input_to_hidden1,3,10,-0.21915192902088165
1,input_to_hidden1,3,11,-0.044036466628313065
1,input_to_hidden1,3,12,0.000977334100753069
1,input_to_hidden1,4,1,-0.5900759696960449
1,input_to_hidden1,4,2,0.216814324259758
1,input_to_hidden1,4,3,-0.32673242688179016
1,input_to_hidden1,4,4,0.5121952891349792
1,input_to_hidden1,4,5,0.21943704783916473
1,input_to_hidden1,4,6,-0.22879207134246826
1,input_to_hidden1,4,7,-0.11163999885320663
1,input_to_hidden1,4,8,0.3844794034957886
1,input_to_hidden1,4,9,-0.221202552318573
1,input_to_hidden1,4,10,-0.09743177890777588
1,input_to_hidden1,4,11,-0.05191677436232567
1,input_to_hidden1,4,12,0.2812136113643646
1,input_to_hidden1,5,1,-0.0788060873746872
1,input_to_hidden1,5,2,-0.043761055916547775
1,input_to_hidden1,5,3,-0.05855000391602516
1,input_to_hidden1,5,4,-0.04318119212985039
1,input_to_hidden1,5,5,0.4550902247428894
1,input_to_hidden1,5,6,0.1591101586818695
1,input_to_hidden1,5,7,-0.14628003537654877
1,input_to_hidden1,5,8,0.11479431390762329
1,input_to_hidden1,5,9,-0.2475374937057495
1,input_to_hidden1,5,10,-0.1285889744758606
1,input_to_hidden1,5,11,-0.2037331461906433
1,input_to_hidden1,5,12,0.14495882391929626
1,input_to_hidden1,6,1,-0.2556218206882477
1,input_to_hidden1,6,2,0.3095097541809082
1,input_to_hidden1,6,3,0.08134037256240845
1,input_to_hidden1,6,4,0.15696761012077332
1,input_to_hidden1,6,5,0.18438082933425903
1,input_to_hidden1,6,6,0.2565838694572449
1,input_to_hidden1,6,7,0.36849066615104675
1,input_to_hidden1,6,8,0.034948814660310745
1,input_to_hidden1,6,9,-0.013979258947074413
1,input_to_hidden1,6,10,-0.31570738554000854
1,input_to_hidden1,6,11,0.04298286885023117
1,input_to_hidden1,6,12,0.006298806983977556
1,input_to_hidden1,7,1,-0.01210742350667715
1,input_to_hidden1,7,2,0.21863946318626404
1,input_to_hidden1,7,3,-0.17893120646476746
1,input_to_hidden1,7,4,0.06320943683385849
1,input_to_hidden1,7,5,0.34650176763534546
1,input_to_hidden1,7,6,-0.14374323189258575
1,input_to_hidden1,7,7,0.29036945104599
1,input_to_hidden1,7,8,-0.12754324078559875
1,input_to_hidden1,7,9,0.018323898315429688
1,input_to_hidden1,7,10,-0.5232914686203003
1,input_to_hidden1,7,11,-0.2932511866092682
1,input_to_hidden1,7,12,0.2355743795633316
1,input_to_hidden1,8,1,-0.36309000849723816
1,input_to_hidden1,8,2,-0.06771758943796158
1,input_to_hidden1,8,3,-0.21700090169906616
1,input_to_hidden1,8,4,-0.23393547534942627
1,input_to_hidden1,8,5,0.3115013837814331
1,input_to_hidden1,8,6,0.020620793104171753
1,input_to_hidden1,8,7,-0.15605969727039337
1,input_to_hidden1,8,8,-0.03342768922448158
1,input_to_hidden1,8,9,-0.47851887345314026
1,input_to_hidden1,8,10,0.14009636640548706
1,input_to_hidden1,8,11,-0.05481337383389473
1,input_to_hidden1,8,12,-0.21911491453647614
1,input_to_hidden1,9,1,-0.46592503786087036
1,input_to_hidden1,9,2,0.3773852288722992
1,input_to_hidden1,9,3,-0.4508565664291382
1,input_to_hidden1,9,4,0.20240093767642975
