epoch,processor_unit_units_status_cpu_board_cpu_fan_avg,processor_unit_units_status_cpu_board_cpu_fan_max,processor_unit_units_status_cpu_board_cpu_bd_fan1_avg,processor_unit_units_status_cpu_board_cpu_bd_fan1_max,processor_unit_units_status_cpu_board_cpu_bd_fan2_avg,processor_unit_units_status_cpu_board_cpu_bd_fan2_max,processor_unit_units_status_cpu_board_cpu_bd_temp_avg,processor_unit_units_status_cpu_board_cpu_bd_temp_max,processor_unit_units_status_cpu_board_cpu_core_temp_avg,processor_unit_units_status_cpu_board_cpu_core_temp_max,processor_unit_units_status_cpu_board_gpu_core_temp_avg,processor_unit_units_status_cpu_board_gpu_core_temp_max,processor_unit_units_status_cpu_board_cpu_core_vol_avg,processor_unit_units_status_cpu_board_cpu_core_vol_max,processor_unit_units_status_cpu_board_cpu_bd_vbat_avg,processor_unit_units_status_cpu_board_cpu_bd_vbat_max,processor_unit_units_status_cpu_board_cpu_bd_p3_3v_avg,processor_unit_units_status_cpu_board_cpu_bd_p3_3v_max,processor_unit_units_status_cpu_board_cpu_bd_p5v_avg,processor_unit_units_status_cpu_board_cpu_bd_p5v_max,processor_unit_units_status_cpu_board_cpu_bd_p12v_avg,processor_unit_units_status_cpu_board_cpu_bd_p12v_max
1000,0.14408748,0.4818092,0.1383383,0.53579396,0.04630192,0.12487131,0.14389889,0.49021852,0.114238046,0.5666243,0.13324623,0.52472425,0.20012459,0.6267389,0.43464962,0.54798776,0.2714168,0.50422597,0.46098647,0.52013206,0.45251706,0.5330306
2000,0.1419672,0.4872812,0.1371448,0.5424568,0.03604015,0.108521104,0.14050104,0.4832471,0.11012382,0.5580575,0.13070372,0.51626176,0.19608675,0.6410654,0.43554008,0.5344695,0.26833886,0.5000829,0.4613533,0.5188502,0.45293507,0.52766913
3000,0.14185327,0.4875629,0.13710688,0.5426646,0.035885256,0.10903269,0.14028789,0.48280472,0.1096393,0.557051,0.13053325,0.5156748,0.19595495,0.64160275,0.43562198,0.534086,0.26702592,0.50165,0.46139032,0.5192627,0.45306385,0.52799857
4000,0.14187229,0.4875251,0.13725828,0.5418121,0.03595733,0.108792365,0.14031951,0.48287445,0.10986816,0.5575257,0.13050926,0.51560414,0.19620545,0.64054,0.43572927,0.53440934,0.26618594,0.502663,0.46097445,0.51978415,0.4529747,0.5283136
5000,0.14181046,0.48767364,0.13715242,0.5424309,0.035897773,0.108997285,0.14025974,0.4827391,0.10945868,0.5566734,0.13048466,0.5155264,0.19614366,0.64081985,0.43557853,0.5339894,0.2665257,0.5022799,0.46116343,0.51934147,0.4530254,0.5279666
6000,0.14171588,0.48791176,0.13709188,0.5427496,0.03589984,0.10899103,0.14025146,0.4827289,0.10933931,0.5564228,0.130541,0.5156795,0.19602653,0.6413188,0.43555403,0.53509235,0.2657751,0.50334823,0.46077836,0.5203659,0.45299086,0.52899104
7000,0.14202298,0.4871353,0.1372101,0.5420956,0.036228187,0.10787749,0.14068806,0.48362684,0.10980854,0.5573927,0.13083628,0.5166731,0.19590901,0.6417522,0.43547034,0.5359874,0.2661662,0.5027466,0.4606151,0.52117705,0.45288658,0.52989274
8000,0.1419064,0.48743653,0.13720153,0.5421437,0.036146738,0.10815054,0.14036882,0.4829697,0.109872326,0.55753565,0.13061522,0.5159581,0.19620524,0.6405727,0.4356499,0.5353529,0.26639453,0.5024359,0.460805,0.5206655,0.452886,0.5292703
9000,0.14185654,0.48754424,0.13735662,0.54129535,0.0359528,0.10880917,0.14030749,0.48285353,0.11015895,0.55812985,0.13043578,0.51536274,0.19609743,0.6409377,0.43572474,0.5343727,0.26673412,0.5020057,0.46118236,0.5195387,0.45307496,0.5274537
10000,0.1421965,0.48668873,0.13736415,0.54123265,0.036172442,0.10807288,0.14060813,0.4834627,0.11028457,0.55839676,0.13062687,0.5160085,0.19631179,0.6401627,0.43558747,0.53458613,0.26654476,0.50221837,0.4609874,0.52003473,0.45298055,0.5283828
11000,0.14192846,0.48737454,0.13719915,0.5421396,0.036220115,0.107902825,0.14045045,0.48313642,0.10978406,0.55734706,0.13069446,0.5161797,0.19595563,0.6416179,0.4354999,0.5361464,0.2667825,0.5019228,0.46042117,0.52152604,0.45288697,0.529899
12000,0.14161998,0.48815876,0.13715284,0.5424065,0.036126357,0.10822433,0.13996013,0.4821276,0.109721445,0.55720973,0.13038728,0.51518536,0.1966334,0.63886344,0.43556815,0.53513217,0.26668158,0.5020258,0.46058762,0.5208586,0.45287177,0.5292582
13000,0.14187284,0.48752427,0.13725828,0.5418119,0.035957508,0.10879332,0.14031944,0.4828756,0.109868154,0.5575264,0.13050772,0.5156051,0.1962015,0.64054453,0.43572897,0.5344069,0.2661877,0.50266206,0.46097448,0.51978594,0.45297477,0.5283144
14000,0.14181039,0.48767322,0.13715243,0.5424305,0.03589789,0.10899824,0.14026102,0.48273993,0.10945882,0.5566739,0.13048463,0.515527,0.19614698,0.6408225,0.4355785,0.53398836,0.2665257,0.50227964,0.46116343,0.5193424,0.4530284,0.5279675
15000,0.1417159,0.48791116,0.1370919,0.54274917,0.035899792,0.108991146,0.14025138,0.4827296,0.10933935,0.5564233,0.13054094,0.51567996,0.1960262,0.6413204,0.43555403,0.53509194,0.26577514,0.5033471,0.46077836,0.5203657,0.45299086,0.52899086
16000,0.14202298,0.4871351,0.1372101,0.5420955,0.0362282,0.10787755,0.14068808,0.48362708,0.109808534,0.5573929,0.13083628,0.5166732,0.1959094,0.64175326,0.43547034,0.5359868,0.26616624,0.50274634,0.4606151,0.52117646,0.45288658,0.52989215
17000,0.1419064,0.4874364,0.13720153,0.54214376,0.036146738,0.10815054,0.14036882,0.48297,0.109872326,0.5575357,0.13061528,0.5159582,0.1962052,0.6405737,0.43564987,0.5353524,0.26639453,0.502436,0.460805,0.5206652,0.452886,0.52927
18000,0.14186166,0.48754406,0.13735662,0.5412955,0.035952937,0.10880923,0.14030866,0.48285377,0.11015895,0.55812985,0.13043578,0.51536274,0.1960973,0.64093846,0.43572474,0.5343721,0.26673412,0.502006,0.46118236,0.51953876,0.45307496,0.5274537
19000,0.14219652,0.4866885,0.13736418,0.54123276,0.03617235,0.10807294,0.14060806,0.48346287,0.11028457,0.55839676,0.13062687,0.5160086,0.19631179,0.6401631,0.43558747,0.53458583,0.26654476,0.5022183,0.4609874,0.52003455,0.45298055,0.52838266
20000,0.14192851,0.48737448,0.13719915,0.5421397,0.036220115,0.107902765,0.14045049,0.48313653,0.10978406,0.55734706,0.13069446,0.5161797,0.19595316,0.64161813,0.43549988,0.5361462,0.2667825,0.50192285,0.46042117,0.5215257,0.45288697,0.5298985
21000,0.14161998,0.48815876,0.13715285,0.54240644,0.036126357,0.10822433,0.13996013,0.4821276,0.10972145,0.5572096,0.13038728,0.51518536,0.19663337,0.63886374,0.43556815,0.53513193,0.26668158,0.5020258,0.46058762,0.5208583,0.45287177,0.52925783
22000,0.14187284,0.48752427,0.13725828,0.5418119,0.035957504,0.10879338,0.14031944,0.48287565,0.109868154,0.55752635,0.13050772,0.5156051,0.19620147,0.64054465,0.43572897,0.53440666,0.2661877,0.50266224,0.46097448,0.51978576,0.45297477,0.5283142
23000,0.14181039,0.48767322,0.13715243,0.5424305,0.035897885,0.1089983,0.14026102,0.48273993,0.10945882,0.5566738,0.13048463,0.515527,0.19614688,0.6408228,0.43557847,0.5339881,0.2665257,0.50227994,0.46116343,0.51934224,0.4530284,0.52796745
24000,0.1417159,0.48791116,0.13709189,0.5427492,0.035899792,0.108991146,0.14025138,0.48272967,0.10933935,0.5564233,0.13054048,0.51568,0.19602619,0.64132065,0.43555403,0.53509176,0.26577514,0.5033471,0.46077836,0.5203654,0.45299086,0.52899075
