layer_index,from_node,to_node,weight,type
1,1,1,-0.28064018,weight
1,1,2,0.14509685,weight
1,1,3,-0.27757442,weight
1,1,4,0.444144,weight
1,1,5,0.36589777,weight
1,1,6,-0.22903672,weight
1,1,7,0.49543127,weight
1,1,8,0.1797217,weight
1,1,9,-0.3766075,weight
1,1,10,-0.19242428,weight
1,1,11,-0.47575837,weight
1,1,12,0.33677763,weight
1,2,1,0.17232198,weight
1,2,2,-0.23009486,weight
1,2,3,0.39590034,weight
1,2,4,-0.26922885,weight
1,2,5,-0.19919357,weight
1,2,6,-0.11709181,weight
1,2,7,0.14399429,weight
1,2,8,0.36227402,weight
1,2,9,0.3200788,weight
1,2,10,0.04970864,weight
1,2,11,0.06595868,weight
1,2,12,0.30811647,weight
1,3,1,-0.40245795,weight
1,3,2,0.5206408,weight
1,3,3,0.06925547,weight
1,3,4,-0.078466825,weight
1,3,5,-0.23008507,weight
1,3,6,0.3392518,weight
1,3,7,0.1505841,weight
1,3,8,0.2558608,weight
1,3,9,0.24865878,weight
1,3,10,-0.21915193,weight
1,3,11,-0.044036467,weight
1,3,12,0.0009773341,weight
1,4,1,-0.59007597,weight
1,4,2,0.21681432,weight
1,4,3,-0.32673243,weight
1,4,4,0.5121953,weight
1,4,5,0.21943705,weight
1,4,6,-0.22879207,weight
1,4,7,-0.11164,weight
1,4,8,0.3844794,weight
1,4,9,-0.22120255,weight
1,4,10,-0.09743178,weight
1,4,11,-0.051916774,weight
1,4,12,0.2812136,weight
1,5,1,-0.07880609,weight
1,5,2,-0.043761056,weight
1,5,3,-0.058550004,weight
1,5,4,-0.043181192,weight
1,5,5,0.45509022,weight
1,5,6,0.15911016,weight
1,5,7,-0.14628004,weight
1,5,8,0.114794314,weight
1,5,9,-0.2475375,weight
1,5,10,-0.12858897,weight
1,5,11,-0.20373315,weight
1,5,12,0.14495882,weight
1,6,1,-0.25562182,weight
1,6,2,0.30950975,weight
1,6,3,0.08134037,weight
1,6,4,0.15696761,weight
1,6,5,0.18438083,weight
1,6,6,0.25658387,weight
1,6,7,0.36849067,weight
1,6,8,0.034948815,weight
1,6,9,-0.013979259,weight
1,6,10,-0.3157074,weight
1,6,11,0.04298287,weight
1,6,12,0.006298807,weight
1,7,1,-0.0121074235,weight
1,7,2,0.21863946,weight
1,7,3,-0.1789312,weight
1,7,4,0.06320944,weight
1,7,5,0.34650177,weight
1,7,6,-0.14374323,weight
1,7,7,0.29036945,weight
1,7,8,-0.12754324,weight
1,7,9,0.018323898,weight
1,7,10,-0.52329147,weight
1,7,11,-0.2932512,weight
1,7,12,0.23557438,weight
1,8,1,-0.36309,weight
1,8,2,-0.06771759,weight
1,8,3,-0.2170009,weight
1,8,4,-0.23393548,weight
1,8,5,0.31150138,weight
1,8,6,0.020620793,weight
1,8,7,-0.1560597,weight
1,8,8,-0.03342769,weight
1,8,9,-0.47851887,weight
1,8,10,0.14009637,weight
1,8,11,-0.054813374,weight
1,8,12,-0.21911491,weight
1,9,1,-0.46592504,weight
1,9,2,0.37738523,weight
1,9,3,-0.45085657,weight
1,9,4,0.20240094,weight
1,9,5,-0.19028224,weight
1,9,6,-0.12515588,weight
1,9,7,-0.18871878,weight
1,9,8,0.28329262,weight
1,9,9,-0.1574514,weight
1,9,10,0.22532526,weight
1,9,11,0.024361063,weight
1,9,12,0.32471263,weight
1,10,1,0.30274203,weight
1,10,2,-0.109268375,weight
1,10,3,0.100926206,weight
1,10,4,-0.21551459,weight
1,10,5,-0.017027222,weight
1,10,6,-0.05939416,weight
1,10,7,0.47612786,weight
1,10,8,-0.115172185,weight
1,10,9,-0.23838554,weight
1,10,10,-0.08386728,weight
1,10,11,-0.54226345,weight
1,10,12,0.22309574,weight
1,11,1,-0.24327092,weight
1,11,2,-0.14135319,weight
1,11,3,-0.24761368,weight
1,11,4,0.17518114,weight
1,11,5,0.36248416,weight
1,11,6,0.19858047,weight
1,11,7,0.014153218,weight
1,11,8,-0.05883629,weight
1,11,9,-0.33693156,weight
1,11,10,-0.5712472,weight
1,11,11,0.08913423,weight
1,11,12,0.32431832,weight
1,0,1,-0.050222307,bias
1,0,2,0.07475333,bias
1,0,3,-0.08029518,bias
1,0,4,0.08265869,bias
1,0,5,0.077642955,bias
1,0,6,-0.08639672,bias
1,0,7,0.08405226,bias
1,0,8,0.070494086,bias
