layer_index,from_node,to_node,weight,type
4,3,4,0.1712852,weight
4,3,5,0.094963185,weight
4,3,6,0.04733328,weight
4,3,7,-0.01428785,weight
4,3,8,0.17053038,weight
4,3,9,0.101264566,weight
4,3,10,0.09598398,weight
4,3,11,0.15765178,weight
4,4,1,0.028906554,weight
4,4,2,0.09426885,weight
4,4,3,0.11824205,weight
4,4,4,-0.06889368,weight
4,4,5,0.073918015,weight
4,4,6,0.03988136,weight
4,4,7,0.16745116,weight
4,4,8,0.0803499,weight
4,4,9,0.060872376,weight
4,4,10,-0.014254809,weight
4,4,11,0.13562548,weight
4,5,1,0.040090796,weight
4,5,2,0.088475384,weight
4,5,3,0.15949628,weight
4,5,4,0.09769527,weight
4,5,5,0.06037341,weight
4,5,6,0.04680161,weight
4,5,7,0.08510166,weight
4,5,8,0.012468424,weight
4,5,9,0.17338751,weight
4,5,10,0.124717124,weight
4,5,11,-0.0023662196,weight
4,6,1,0.06129559,weight
4,6,2,0.049241256,weight
4,6,3,0.13488449,weight
4,6,4,0.03594467,weight
4,6,5,0.059464775,weight
4,6,6,0.053687435,weight
4,6,7,0.112403706,weight
4,6,8,0.111627094,weight
4,6,9,0.091832444,weight
4,6,10,0.06377766,weight
4,6,11,0.17106599,weight
4,7,1,0.12616661,weight
4,7,2,0.057949662,weight
4,7,3,0.16995807,weight
4,7,4,0.0064517665,weight
4,7,5,0.10002173,weight
4,7,6,0.061168674,weight
4,7,7,0.08404815,weight
4,7,8,0.09008542,weight
4,7,9,0.06474472,weight
4,7,10,0.04111252,weight
4,7,11,0.13573849,weight
4,8,1,0.05134708,weight
4,8,2,0.13116558,weight
4,8,3,0.079808615,weight
4,8,4,0.08636226,weight
4,8,5,-0.05970893,weight
4,8,6,0.03920849,weight
4,8,7,0.10578378,weight
4,8,8,-0.023539396,weight
4,8,9,0.048119497,weight
4,8,10,0.012985794,weight
4,8,11,-0.013463292,weight
4,9,1,0.124330536,weight
4,9,2,0.10696699,weight
4,9,3,0.07495568,weight
4,9,4,0.028741049,weight
4,9,5,-0.05211393,weight
4,9,6,0.14543043,weight
4,9,7,0.07303755,weight
4,9,8,-0.019154895,weight
4,9,9,-0.012204128,weight
4,9,10,0.11698609,weight
4,9,11,-0.019833013,weight
4,10,1,0.08576361,weight
4,10,2,0.0027652772,weight
4,10,3,0.13644461,weight
4,10,4,-0.02214384,weight
4,10,5,0.09902281,weight
4,10,6,0.080660895,weight
4,10,7,0.15411365,weight
4,10,8,0.092800125,weight
4,10,9,0.14346915,weight
4,10,10,0.13558301,weight
4,10,11,0.03278648,weight
4,11,1,0.098821454,weight
4,11,2,0.012909762,weight
4,11,3,0.120713405,weight
4,11,4,0.051434916,weight
4,11,5,0.16663949,weight
4,11,6,0.05095976,weight
4,11,7,0.015233516,weight
4,11,8,0.044701394,weight
4,11,9,-0.04752485,weight
4,11,10,0.10035285,weight
4,11,11,0.00859097,weight
4,12,1,0.021770913,weight
4,12,2,0.025927268,weight
4,12,3,0.17659819,weight
4,12,4,0.14527698,weight
