epoch,processor_unit_units_status_cpu_board_cpu_fan_avg,processor_unit_units_status_cpu_board_cpu_fan_max,processor_unit_units_status_cpu_board_cpu_bd_fan1_avg,processor_unit_units_status_cpu_board_cpu_bd_fan1_max,processor_unit_units_status_cpu_board_cpu_bd_fan2_avg,processor_unit_units_status_cpu_board_cpu_bd_fan2_max,processor_unit_units_status_cpu_board_cpu_bd_temp_avg,processor_unit_units_status_cpu_board_cpu_bd_temp_max,processor_unit_units_status_cpu_board_cpu_core_temp_avg,processor_unit_units_status_cpu_board_cpu_core_temp_max,processor_unit_units_status_cpu_board_gpu_core_temp_avg,processor_unit_units_status_cpu_board_gpu_core_temp_max,processor_unit_units_status_cpu_board_cpu_core_vol_avg,processor_unit_units_status_cpu_board_cpu_core_vol_max,processor_unit_units_status_cpu_board_cpu_bd_vbat_avg,processor_unit_units_status_cpu_board_cpu_bd_vbat_max,processor_unit_units_status_cpu_board_cpu_bd_p3_3v_avg,processor_unit_units_status_cpu_board_cpu_bd_p3_3v_max,processor_unit_units_status_cpu_board_cpu_bd_p5v_avg,processor_unit_units_status_cpu_board_cpu_bd_p5v_max,processor_unit_units_status_cpu_board_cpu_bd_p12v_avg,processor_unit_units_status_cpu_board_cpu_bd_p12v_max
1000,0.006993026,0.042618573,0.004651567,0.03526002,0.017518386,0.06589204,0.0144615015,0.08296168,0.007042971,0.047391236,0.0064916983,0.03924507,0.005231699,0.052561685,0.0061245426,0.035314135,0.0054824706,0.042227738,0.0048825685,0.030654548,0.006289211,0.05281049
2000,0.0031367412,0.01922667,0.0033780471,0.023121808,0.010780241,0.0391168,0.004775378,0.023358047,0.003553965,0.020195037,0.003066586,0.01789993,0.005157707,0.02309078,0.00441305,0.019748742,0.004588703,0.019354833,0.005317704,0.022430003,0.0063162027,0.024475813
3000,0.0024346595,0.017267942,0.0022914866,0.02093798,0.0102406265,0.037200987,0.0041754274,0.020656288,0.0046155388,0.023967907,0.003357464,0.016033173,0.004486012,0.016472368,0.002446677,0.01767428,0.0035699722,0.019701064,0.0068952693,0.02494812,0.0033643919,0.01824081
4000,0.002465024,0.016778901,0.002509337,0.019093037,0.010344448,0.035559356,0.0027259479,0.018839657,0.0028017827,0.025172468,0.0025581045,0.018842049,0.0027078153,0.018866662,0.003728788,0.014808415,0.0038938462,0.016782463,0.0033586514,0.026860714,0.0053710523,0.022289813
5000,0.0020070807,0.014723301,0.0060338415,0.021706238,0.008732471,0.036818862,0.0017378014,0.0129855275,0.0026629104,0.019549847,0.0038211755,0.01899153,0.0071211015,0.02482156,0.0055827023,0.01854384,0.0031330353,0.017229497,0.005919493,0.022210717,0.002486316,0.012344718
6000,0.0025089565,0.016257823,0.0021940528,0.016402826,0.007903164,0.037121773,0.002305227,0.014252171,0.0038485327,0.01565221,0.0037447328,0.018492043,0.0039012698,0.01606083,0.0043182056,0.017447233,0.004546271,0.018944638,0.003073988,0.0217942,0.0025787374,0.01404798
7000,0.002018534,0.01742971,0.00343757,0.016915187,0.007704112,0.036694467,0.0041217455,0.01966539,0.002014969,0.016629081,0.0030472372,0.018098176,0.00556053,0.020972073,0.0037985053,0.016991913,0.00269997,0.014665663,0.002748009,0.018414795,0.0025778569,0.014882863
8000,0.0018813431,0.014808536,0.0023354907,0.015753433,0.009027538,0.03515756,0.0018066643,0.012430012,0.0025635033,0.01627636,0.0040857755,0.017078519,0.0031921708,0.013289213,0.0067636645,0.027702034,0.002056621,0.01760453,0.003992145,0.016693592,0.0066528665,0.019993497
9000,0.0020659522,0.015401453,0.0020379184,0.016181752,0.006817549,0.035285592,0.0030695351,0.014428794,0.0018112889,0.014782429,0.0052245115,0.019301355,0.003518602,0.015640244,0.0039029606,0.021744609,0.0042606276,0.02053839,0.0022223566,0.017718613,0.0062184213,0.017959237
10000,0.0020612883,0.017087758,0.003701482,0.017342031,0.007935344,0.034702063,0.0020718158,0.013704658,0.004362029,0.022384327,0.0026615525,0.016989589,0.0027831797,0.019009992,0.0036705078,0.022232056,0.0023764397,0.017004073,0.002678427,0.016652226,0.0025976761,0.01660077
11000,0.0042968425,0.018582404,0.002107464,0.0139741,0.0074784914,0.035200953,0.003680206,0.014955729,0.0027829919,0.014161855,0.0027802694,0.013360083,0.005253136,0.01970549,0.0026092066,0.016622126,0.0030892994,0.015891956,0.004448791,0.017379642,0.0051413355,0.015609026
