epoch,processor_unit_units_status_cpu_board_cpu_fan_avg,processor_unit_units_status_cpu_board_cpu_fan_max,processor_unit_units_status_cpu_board_cpu_bd_fan1_avg,processor_unit_units_status_cpu_board_cpu_bd_fan1_max,processor_unit_units_status_cpu_board_cpu_bd_fan2_avg,processor_unit_units_status_cpu_board_cpu_bd_fan2_max,processor_unit_units_status_cpu_board_cpu_bd_temp_avg,processor_unit_units_status_cpu_board_cpu_bd_temp_max,processor_unit_units_status_cpu_board_cpu_core_temp_avg,processor_unit_units_status_cpu_board_cpu_core_temp_max,processor_unit_units_status_cpu_board_gpu_core_temp_avg,processor_unit_units_status_cpu_board_gpu_core_temp_max,processor_unit_units_status_cpu_board_cpu_core_vol_avg,processor_unit_units_status_cpu_board_cpu_core_vol_max,processor_unit_units_status_cpu_board_cpu_bd_vbat_avg,processor_unit_units_status_cpu_board_cpu_bd_vbat_max,processor_unit_units_status_cpu_board_cpu_bd_p3_3v_avg,processor_unit_units_status_cpu_board_cpu_bd_p3_3v_max,processor_unit_units_status_cpu_board_cpu_bd_p5v_avg,processor_unit_units_status_cpu_board_cpu_bd_p5v_max,processor_unit_units_status_cpu_board_cpu_bd_p12v_avg,processor_unit_units_status_cpu_board_cpu_bd_p12v_max
1000,0.0057750046,0.042068243,0.007538626,0.024601758,0.01752604,0.06825048,0.008232424,0.095262766,0.0068243844,0.05749333,0.007005399,0.03264182,0.007306299,0.030121163,0.0047230935,0.028396932,0.007182666,0.040651858,0.0072648646,0.025129378,0.0031479,0.03323686
2000,0.003586475,0.025443718,0.001779553,0.021475881,0.01880386,0.0647614,0.003066698,0.020365447,0.0048176376,0.027802587,0.0021857524,0.01722598,0.0033528807,0.026545763,0.0037333784,0.021468341,0.005016999,0.035975292,0.0029712983,0.022562401,0.0022589625,0.024882913
3000,0.0024222145,0.021428138,0.0022762013,0.021257639,0.013245246,0.040162086,0.0040802127,0.02223301,0.005594689,0.027662277,0.0020317694,0.017892838,0.0026508975,0.01698798,0.0042537106,0.02376926,0.0023693547,0.024079697,0.009668879,0.030322293,0.0028755881,0.025091782
4000,0.0029731577,0.019627213,0.004507212,0.024766117,0.010969482,0.037600935,0.0030267194,0.016143978,0.0023110397,0.020060122,0.007217101,0.02056539,0.006993061,0.026918113,0.001823174,0.019096196,0.006135091,0.017498016,0.0026491948,0.019138504,0.0033037218,0.018090665
5000,0.002437812,0.014082491,0.0017359653,0.016703218,0.010068373,0.038476348,0.004144273,0.017077327,0.00244254,0.01905024,0.0020664644,0.01412487,0.0023819148,0.02019304,0.0033573126,0.018857837,0.0030775077,0.020788372,0.0026422923,0.018597318,0.0036185451,0.01622203
6000,0.0028201914,0.01372087,0.0036346372,0.017002523,0.009326858,0.038048565,0.0024585521,0.015708566,0.0017654345,0.012381852,0.0023905025,0.013041824,0.002252163,0.018129542,0.002192533,0.017220378,0.0022327388,0.018635869,0.0027996975,0.01828909,0.0030001688,0.013448
