epoch,processor_unit_units_status_cpu_board_cpu_fan_avg,processor_unit_units_status_cpu_board_cpu_fan_max,processor_unit_units_status_cpu_board_cpu_bd_fan1_avg,processor_unit_units_status_cpu_board_cpu_bd_fan1_max,processor_unit_units_status_cpu_board_cpu_bd_fan2_avg,processor_unit_units_status_cpu_board_cpu_bd_fan2_max,processor_unit_units_status_cpu_board_cpu_bd_temp_avg,processor_unit_units_status_cpu_board_cpu_bd_temp_max,processor_unit_units_status_cpu_board_cpu_core_temp_avg,processor_unit_units_status_cpu_board_cpu_core_temp_max,processor_unit_units_status_cpu_board_gpu_core_temp_avg,processor_unit_units_status_cpu_board_gpu_core_temp_max,processor_unit_units_status_cpu_board_cpu_core_vol_avg,processor_unit_units_status_cpu_board_cpu_core_vol_max,processor_unit_units_status_cpu_board_cpu_bd_vbat_avg,processor_unit_units_status_cpu_board_cpu_bd_vbat_max,processor_unit_units_status_cpu_board_cpu_bd_p3_3v_avg,processor_unit_units_status_cpu_board_cpu_bd_p3_3v_max,processor_unit_units_status_cpu_board_cpu_bd_p5v_avg,processor_unit_units_status_cpu_board_cpu_bd_p5v_max,processor_unit_units_status_cpu_board_cpu_bd_p12v_avg,processor_unit_units_status_cpu_board_cpu_bd_p12v_max
1000,0.007842438,0.04402101,0.004712899,0.052240003,0.017364837,0.07015413,0.015689129,0.08649039,0.009148697,0.05201882,0.007162602,0.038440168,0.0065623517,0.04388994,0.011737015,0.04406655,0.004815292,0.037648022,0.0038331281,0.026693106,0.006325897,0.037808836
2000,0.0064485534,0.025209606,0.0032903163,0.03081267,0.017253907,0.07307756,0.0030739543,0.022760764,0.0030730874,0.02471074,0.003191211,0.020510852,0.017294504,0.04168254,0.0030740097,0.026748018,0.0026469876,0.02719301,0.0032558807,0.022641063,0.008077924,0.022216916
3000,0.0062727584,0.024684459,0.004421821,0.028542731,0.018590106,0.061540425,0.004403698,0.018799245,0.0029682699,0.022766657,0.002943281,0.021636307,0.0027957265,0.026556566,0.009945355,0.033953533,0.005793834,0.026007056,0.002269526,0.020604908,0.003984036,0.01756376
4000,0.0047318675,0.023423657,0.003290088,0.02497688,0.010972807,0.035853446,0.0046054423,0.023781478,0.0043920893,0.019175358,0.0037743682,0.019682676,0.003202817,0.023865998,0.0028624851,0.021556556,0.0024662514,0.024247587,0.003363195,0.020220637,0.002333809,0.015481919
5000,0.005411016,0.023409992,0.00234094,0.019275904,0.0076325787,0.03967768,0.0028926337,0.017057091,0.003953286,0.01738096,0.0027028634,0.016322494,0.0025726063,0.023283362,0.0034291546,0.015094578,0.008436809,0.024359584,0.0032274146,0.026521802,0.00459481,0.016854567
6000,0.0041670194,0.019074142,0.0030609842,0.019505173,0.007152908,0.041209638,0.003234511,0.014842451,0.004332617,0.019013308,0.0025729123,0.011977434,0.0060439287,0.02286452,0.002443987,0.012819588,0.0055659,0.026071668,0.0030196458,0.017317355,0.0024765567,0.013106979
7000,0.0027109587,0.019837007,0.0028100035,0.017155826,0.0056725545,0.04206091,0.0031106044,0.017619729,0.0025546567,0.017180912,0.0029153116,0.019053996,0.0019227086,0.015501857,0.007216366,0.024410963,0.0030928669,0.032824397,0.0026804167,0.01525402,0.0018821013,0.012322708
8000,0.004532004,0.018977016,0.0043069483,0.019587219,0.0054992028,0.0387128,0.0047082035,0.020656168,0.006747645,0.021742642,0.0028175947,0.016073465,0.0022042866,0.014692366,0.0030765603,0.01737124,0.0023712877,0.026262462,0.0028006006,0.01831199,0.0019514172,0.012656271
9000,0.002955575,0.018427491,0.0033321548,0.017177522,0.0068208682,0.034954906,0.0041654757,0.01701963,0.003934585,0.0170511,0.0025821703,0.0137351155,0.0042977766,0.018118575,0.0016770259,0.014395899,0.0045004315,0.026708663,0.0024893554,0.01890011,0.0058889096,0.01689291
10000,0.0021342996,0.01715076,0.002836052,0.01883436,0.0049917665,0.03890997,0.0032186257,0.014839038,0.003310186,0.018109381,0.002927252,0.012632191,0.0024337843,0.016707867,0.0032525216,0.019191265,0.0019578692,0.01989764,0.0022429004,0.021024717,0.0024439057,0.011443146
11000,0.0020311326,0.015129089,0.002750784,0.02301541,0.0051921434,0.037831664,0.0021562658,0.014086217,0.0021306472,0.013762593,0.0022013981,0.012402236,0.00159261,0.012841105,0.0025502616,0.015379733,0.002073316,0.02341485,0.0027203467,0.013451085,0.0030944694,0.012585223
